==================================================
Book                     Author                   
==================================================
roberts                  Ted Rodriguez            
beer                     Evelyn Pfeffer           
stoltenberg              Nathanael Schroeder      
gleichnercole            Mrs. Priscilla Hansen Jr.
beatty                   Carmel McDermott         
bauch                    Audie Marquardt          
stokesjacobson           Candice Witting          
kessler                  Malika Dietrich          
glover                   Ms. Aaliyah Schamberger DVM
yost                     Cordell Smitham          
armstrong                Zaria O'Kon              
treutel                  Rossie Walker            
littel                   Prof. Jermain Cummerata  
ernser                   Modesta Deckow           
cassinblick              Mr. Dexter Gulgowski PhD 
